,title,length,views,url,type of discourse,label
0,Escúchalo completo en Más Allá del Rosa en YouTube,59,77621,https://www.youtube.com/watch?v=lfKUPNGm2Ns,interview,non-hate
1,"AMLO responde a #XóchitlGálvez y niega ser #machista: ""eso sí calienta"" #Short #LaMañanera",55,3196828,https://www.youtube.com/watch?v=TCz4dMRtR_M,speech,non-hate
2,El hombre no se cansa de la misma mujer 🦉#reflexion #amorpropio #crecimientopersonal #relaciones,27,23130,https://www.youtube.com/watch?v=PhoIN9hqRgE,speech,hate
3,Identidad de genero #short #identidadegenero #identidad #géneros #genero #trans #lgbt #lgtbiq #gay,21,647,https://www.youtube.com/watch?v=I4mFxY4mhGE,speech,non-hate
4,NATALIA MALDINI: El machismo en la industria del cine,60,824,https://www.youtube.com/watch?v=cODcojX6DpI,speech,non-hate
5,#marthaherrera #feminismo #mujeresqueinspiran #mujeresempoderadas #viral,39,4319,https://www.youtube.com/watch?v=84cwTQq5eCs,speech,non-hate
6,El Patriarcado existe? actualmente?#transgeneros #bisexual#lgtbespaña #machoalfa#patriarcado#hombre,37,3018,https://www.youtube.com/watch?v=dBLiOltdRp0,speech,hate
7,HOMBRES vs MUJERES 🏝️ #shorts #feminismo #youtubeshorts #viral #viralvideo #shortvideo #short,32,12699,https://www.youtube.com/watch?v=ZcAj8ZtAJYY,response,hate
8,ERES UN CARA #soyunmono #leytrans #8M #feminismo #humor #viral,52,12574,https://www.youtube.com/watch?v=QPBlryr7GII,speech,hate
9,🧐¿Que son los estereotipos de género? ⚧,56,461,https://www.youtube.com/watch?v=g_0ZaJKIXnQ,speech,non-hate
10,HIJO DE BEN AFFLECK REVELÓ SER NO BINARIO 🗣   #TelemetroNews #shorts,43,5807,https://www.youtube.com/watch?v=UO3CfhlVRCo,debate,non-hate
11,"Un ""divorcio duro"" no justifica la violencia machista, señor Feijóo",46,7721,https://www.youtube.com/watch?v=KI-VTOi5oMU,debate,non-hate
12,El patriarcado me golpea,33,1416,https://www.youtube.com/watch?v=fo--PMipPzk,debate,hate
13,Opiniones? 🤔👀🤷🏻‍♂️🏳️‍🌈 #feminismo #shorts #viral #youtubeshorts #short #viralvideo #youtube,49,10156,https://www.youtube.com/watch?v=Z_QTFiLxi9Y,interview,non-hate
14,"Me dijo ""ME GUSTAS PERO ERES GORDA"" 😱 | UnTalFredo",59,45540,https://www.youtube.com/watch?v=Cfj2eLLWJmo,speech,non-hate
15,"#Shorts Nueva violencia machista, más barbarie",60,537,https://www.youtube.com/watch?v=dw66KlJJRvE,speech,non-hate
16,La brecha salarial no existe. @paulattier #brechasalarial #feminismo #redpillpodcast,54,256315,https://www.youtube.com/watch?v=8GeaH7aD-SI,speech,non-hate
17,El hombre es la provisión y la cobertura y la mujer es el corazón y la paz ❤️ #roles #genero,49,2503,https://www.youtube.com/watch?v=Zs9X5Nd_IyU,debate,non-hate
18,MI TÍO MENOS MACHISTA,13,1689,https://www.youtube.com/watch?v=HsArrj64rFk,response,hate
19,Frank Cuesta opina del movimiento LGBT+,60,1562451,https://www.youtube.com/watch?v=zTnVOjKJ_PE,debate,hate
20,El mundo putrefacto de los #progres nos daña El #cambiodesexo algo grave que ellos toman a la ligera,57,1962,https://www.youtube.com/watch?v=zxDo6081eCQ,debate,hate
21,Esto es el feminismo💜 #feminismo #feminista #shorts #youtube #ideas #parati #amorpropio,20,16719,https://www.youtube.com/watch?v=0LUkqeVGMLc,speech,non-hate
22,Mensaje imperdible. #Mujeres #estereotipos  #setu,45,36,https://www.youtube.com/watch?v=iuDGmhp-XCI,debate,non-hate
23,Se utiliza bien la palabra #machista?,61,1215,https://www.youtube.com/watch?v=GK6eONcUEZg,response,hate
24,un chiste machista,9,1794,https://www.youtube.com/watch?v=UZtjfPLHhb4,debate,hate
25,En el Día Internacional de la Mujer debemos reflexionar sobre lo que Dios dice,37,7583,https://www.youtube.com/watch?v=_vClks3kzK8,speech,hate
26,Recibo hate por mi edad y respondo 🤬,48,7141417,https://www.youtube.com/watch?v=VUh9Jgr93KA,response,hate
27,El impacto cultural de los baños neutrales en cuanto al género en los Estados Unidos,33,2873,https://www.youtube.com/watch?v=3Ieo9Bq9wX4,debate,hate
28,"NEVENKA: ""Enfrentarme a mi agresor casi me cuesta la vida"" #machismo #feminismo #shorts #shortvideo",60,6055,https://www.youtube.com/watch?v=n3T8l5l8PH4,debate,non-hate
29,✔ Género no BINARIO ¿Son RADICALES?🤔(Nicole Gordita),49,6712,https://www.youtube.com/watch?v=HaSZBRghTqk,debate,non-hate
30,¿Una chica trans debería hablar sobre su identidad de género antes de una cita?,59,1251729,https://www.youtube.com/watch?v=PxlSUMQ_2z8,informative,non-hate
31,LA MASCULINIDAD NO ES TÓXICA,49,5918,https://www.youtube.com/watch?v=licDSLUid04,speech,hate
32,"Bustamante se disculpa por decir que no es ""ni machista ni feminista""",65,7734,https://www.youtube.com/watch?v=cc0pl0_fXbc,speech,non-hate
33,OJALÁ ME SALVE UN HOMBRE👨🏽‍🚒👨🏽‍🚒#short #podcast #show #bomberos #igualdad #hombres #feminismo #mujer,34,11098,https://www.youtube.com/watch?v=kvdWJ3RGRfk,speech,hate
34,MASCULINIDAD TOXICA,57,23806,https://www.youtube.com/watch?v=ghtCIAxYjWs,speech,non-hate
35,ENTREVISTA | PRIMER MARCHA POR LA VISIBILIDAD TRANS BINARIA🏳️‍⚧️ & NO BINARIE💛🤍💜🖤 - COLIMA.,60,517,https://www.youtube.com/watch?v=OctjUNQaZSE,speech,non-hate
36,En Domina estamos rompiendo estereotipos de género 💙​,44,71,https://www.youtube.com/watch?v=qZvBqo_bkRg,speech,non-hate
37,A FONDO | Desigualdad social y laboral,20,265,https://www.youtube.com/watch?v=AJ7xKbmCrjg,speech,non-hate
38,Los roles de género pueden ser asfixiantes 🙄 #podcast #seregalandudas,57,6503,https://www.youtube.com/watch?v=fa8YAaqevAM,debate,non-hate
39,¿Un hijo transgénero no binario?,18,1476,https://www.youtube.com/watch?v=HkMnfkQ-jek,debate,hate
40,¿El 8M se ha desvirtuado o se ha fortalecido en México? Esto piensan las jóvenes #SinFiltro.,53,1609,https://www.youtube.com/watch?v=3lYAv6ZvbDU,debate,non-hate
